{'scaleID': 'scaleID_1', 'fluctuation': 125, 'currentWeightFoodPan': 1875, 'timestamp': '01/01/2020, 09:43:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_2', 'fluctuation': 122, 'currentWeightFoodPan': 1878, 'timestamp': '01/01/2020, 09:56:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_1', 'fluctuation': 118, 'currentWeightFoodPan': 1757, 'timestamp': '01/01/2020, 10:10:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_0', 'fluctuation': 108, 'currentWeightFoodPan': 1892, 'timestamp': '01/01/2020, 10:23:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_3', 'fluctuation': 132, 'currentWeightFoodPan': 1868, 'timestamp': '01/01/2020, 10:36:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_1', 'fluctuation': 128, 'currentWeightFoodPan': 1629, 'timestamp': '01/01/2020, 10:50:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_3', 'fluctuation': 128, 'currentWeightFoodPan': 1740, 'timestamp': '01/01/2020, 11:03:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_1', 'fluctuation': 125, 'currentWeightFoodPan': 1504, 'timestamp': '01/01/2020, 11:16:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_4', 'fluctuation': 110, 'currentWeightFoodPan': 1890, 'timestamp': '01/01/2020, 11:30:00', 'ingredientName': 'tuna'}
{'scaleID': 'scaleID_2', 'fluctuation': 119, 'currentWeightFoodPan': 1759, 'timestamp': '01/01/2020, 11:43:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_3', 'fluctuation': 120, 'currentWeightFoodPan': 1620, 'timestamp': '01/01/2020, 11:56:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_4', 'fluctuation': 108, 'currentWeightFoodPan': 1782, 'timestamp': '01/01/2020, 12:10:00', 'ingredientName': 'tuna'}
{'scaleID': 'scaleID_2', 'fluctuation': 117, 'currentWeightFoodPan': 1642, 'timestamp': '01/01/2020, 12:23:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_0', 'fluctuation': 95, 'currentWeightFoodPan': 1797, 'timestamp': '01/01/2020, 12:36:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_0', 'fluctuation': 95, 'currentWeightFoodPan': 1702, 'timestamp': '01/01/2020, 12:50:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_1', 'fluctuation': 119, 'currentWeightFoodPan': 1385, 'timestamp': '01/01/2020, 13:03:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_3', 'fluctuation': 122, 'currentWeightFoodPan': 1498, 'timestamp': '01/01/2020, 13:16:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_1', 'fluctuation': 120, 'currentWeightFoodPan': 1265, 'timestamp': '01/01/2020, 13:30:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_1', 'fluctuation': 117, 'currentWeightFoodPan': 1148, 'timestamp': '01/01/2020, 13:43:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_2', 'fluctuation': 125, 'currentWeightFoodPan': 1517, 'timestamp': '01/01/2020, 13:56:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_0', 'fluctuation': 90, 'currentWeightFoodPan': 1612, 'timestamp': '01/01/2020, 14:10:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_0', 'fluctuation': 108, 'currentWeightFoodPan': 1504, 'timestamp': '01/01/2020, 14:23:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_3', 'fluctuation': 124, 'currentWeightFoodPan': 1374, 'timestamp': '01/01/2020, 14:36:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_2', 'fluctuation': 124, 'currentWeightFoodPan': 1393, 'timestamp': '01/01/2020, 14:50:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_3', 'fluctuation': 130, 'currentWeightFoodPan': 1244, 'timestamp': '01/01/2020, 15:03:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_2', 'fluctuation': 129, 'currentWeightFoodPan': 1264, 'timestamp': '01/01/2020, 15:16:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_4', 'fluctuation': 110, 'currentWeightFoodPan': 1672, 'timestamp': '01/01/2020, 15:30:00', 'ingredientName': 'tuna'}
{'scaleID': 'scaleID_2', 'fluctuation': 127, 'currentWeightFoodPan': 1137, 'timestamp': '01/01/2020, 15:43:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_0', 'fluctuation': 100, 'currentWeightFoodPan': 1404, 'timestamp': '01/01/2020, 15:56:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_2', 'fluctuation': 127, 'currentWeightFoodPan': 1010, 'timestamp': '01/01/2020, 16:10:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_4', 'fluctuation': 123, 'currentWeightFoodPan': 1549, 'timestamp': '01/01/2020, 16:23:00', 'ingredientName': 'tuna'}
{'scaleID': 'scaleID_1', 'fluctuation': 111, 'currentWeightFoodPan': 1037, 'timestamp': '01/01/2020, 16:36:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_1', 'fluctuation': 127, 'currentWeightFoodPan': 910, 'timestamp': '01/01/2020, 16:50:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_3', 'fluctuation': 122, 'currentWeightFoodPan': 1122, 'timestamp': '01/01/2020, 17:03:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_1', 'fluctuation': 115, 'currentWeightFoodPan': 795, 'timestamp': '01/01/2020, 17:16:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_0', 'fluctuation': 107, 'currentWeightFoodPan': 1297, 'timestamp': '01/01/2020, 17:30:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_4', 'fluctuation': 114, 'currentWeightFoodPan': 1435, 'timestamp': '01/01/2020, 17:43:00', 'ingredientName': 'tuna'}
{'scaleID': 'scaleID_1', 'fluctuation': 126, 'currentWeightFoodPan': 669, 'timestamp': '01/01/2020, 17:56:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_1', 'fluctuation': 117, 'currentWeightFoodPan': 552, 'timestamp': '01/01/2020, 18:10:00', 'ingredientName': 'steak-strands'}
{'scaleID': 'scaleID_4', 'fluctuation': 107, 'currentWeightFoodPan': 1328, 'timestamp': '01/01/2020, 18:23:00', 'ingredientName': 'tuna'}
{'scaleID': 'scaleID_0', 'fluctuation': 109, 'currentWeightFoodPan': 1188, 'timestamp': '01/01/2020, 18:36:00', 'ingredientName': 'chicken-pieces'}
{'scaleID': 'scaleID_3', 'fluctuation': 122, 'currentWeightFoodPan': 1000, 'timestamp': '01/01/2020, 18:50:00', 'ingredientName': 'meatballs'}
{'scaleID': 'scaleID_2', 'fluctuation': 115, 'currentWeightFoodPan': 895, 'timestamp': '01/01/2020, 19:03:00', 'ingredientName': 'chicken-teriyaki'}
{'scaleID': 'scaleID_4', 'fluctuation': 120, 'currentWeightFoodPan': 1208, 'timestamp': '01/01/2020, 19:16:00', 'ingredientName': 'tuna'}
